SpecimenID,ShouldProcessFurther,ImageID,ImageUrl,ImageS3Key,Species,Sex,AbdomenStatus,CapturedAt,ImageSubmittedAt,ImageUpdatedAt,SessionID,SessionFrontendID,SessionCollectorTitle,SessionCollectorName,SessionCollectionDate,SessionCollectionMethod,SessionSpecimenCondition,SessionNotes,SessionCreatedAt,SessionCompletedAt,SessionSubmittedAt,SessionUpdatedAt,SessionLatitude,SessionLongitude,SessionType,SessionCollectorLastTrainedOn,SessionHardwareID,SiteID,SiteDistrict,SiteSubCounty,SiteParish,SiteVillageName,SiteHouseNumber,SiteIsActive,SiteHealthCenter,ProgramID,ProgramName,ProgramCountry,DeviceID,DeviceModel,DeviceRegisteredAt,CaptureYear,CaptureMonth,CaptureYearMonth,CaptureQuarter,SpeciesGroup,IsFed,IsUnfed,DataQualityFlag
AAH945,False,7635,https://api.vectorcam.org/specimens/5024/images/7635,46ebddbe295902ab4fd8b519e97a3fee,Anopheles funestus,Female,Gravid,2025-12-04 10:10:06+00:00,2025-12-04 10:10:20+00:00,2025-12-04 10:11:36+00:00,422,212d6e74-1a37-4c9b-8d33-9ac19fed8666,Village Health Team (VHT),Onzima Sadadi,2025-12-04 10:04:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with new device.,2025-12-04 10:04:12+00:00,2025-12-04 10:10:14+00:00,2025-12-04 10:10:17+00:00,2025-12-06 12:22:02+00:00,3.44727,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,38,Koboko,Abuku,Metino,Yukulia,KAMY007,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Anopheles funestus group,True,False,OK
AAH944,False,7634,https://api.vectorcam.org/specimens/5023/images/7634,4fb35c2a1337602a1281ddb94c1ba36c,Anopheles other,Male,Unknown,2025-12-04 10:08:41+00:00,2025-12-04 10:10:19+00:00,2025-12-04 10:11:27+00:00,422,212d6e74-1a37-4c9b-8d33-9ac19fed8666,Village Health Team (VHT),Onzima Sadadi,2025-12-04 10:04:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with new device.,2025-12-04 10:04:12+00:00,2025-12-04 10:10:14+00:00,2025-12-04 10:10:17+00:00,2025-12-06 12:22:02+00:00,3.44727,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,38,Koboko,Abuku,Metino,Yukulia,KAMY007,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Other Anopheles,False,False,OK
AAH943,False,7633,https://api.vectorcam.org/specimens/5022/images/7633,095deb64f0eb474dba17a7d01d811069,Culex,Male,Unknown,2025-12-04 10:08:00+00:00,2025-12-04 10:10:19+00:00,2025-12-04 10:10:53+00:00,422,212d6e74-1a37-4c9b-8d33-9ac19fed8666,Village Health Team (VHT),Onzima Sadadi,2025-12-04 10:04:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with new device.,2025-12-04 10:04:12+00:00,2025-12-04 10:10:14+00:00,2025-12-04 10:10:17+00:00,2025-12-06 12:22:02+00:00,3.44727,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,38,Koboko,Abuku,Metino,Yukulia,KAMY007,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Culex (nuisance),False,False,OK
AAH942,False,7632,https://api.vectorcam.org/specimens/5021/images/7632,0cfb62086f82e7667834be3b41206621,Culex,Male,Unknown,2025-12-04 10:02:57+00:00,2025-12-04 10:03:25+00:00,2025-12-04 10:04:18+00:00,421,6f4d1726-d8a8-4aec-8b3d-1d987e23f6c6,Village Health Team (VHT),Kasule Mawa Yahaya,2025-12-04 09:53:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with New device .,2025-12-04 09:53:12+00:00,2025-12-04 10:03:16+00:00,2025-12-04 10:03:19+00:00,2025-12-06 12:13:49+00:00,3.44723,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,39,Koboko,Abuku,Metino,Yukulia,KAMY008,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Culex (nuisance),False,False,OK
AAH941,False,7631,https://api.vectorcam.org/specimens/5020/images/7631,d699c4203d730c78d53a7cf3b73f5d50,Culex,Male,Unknown,2025-12-04 10:01:57+00:00,2025-12-04 10:03:24+00:00,2025-12-04 10:04:09+00:00,421,6f4d1726-d8a8-4aec-8b3d-1d987e23f6c6,Village Health Team (VHT),Kasule Mawa Yahaya,2025-12-04 09:53:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with New device .,2025-12-04 09:53:12+00:00,2025-12-04 10:03:16+00:00,2025-12-04 10:03:19+00:00,2025-12-06 12:13:49+00:00,3.44723,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,39,Koboko,Abuku,Metino,Yukulia,KAMY008,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Culex (nuisance),False,False,OK
AAH938,False,7630,https://api.vectorcam.org/specimens/5019/images/7630,ebd2bb8fec0b9f1279042149f7c02e85,Culex,Female,Gravid,2025-12-04 09:59:56+00:00,2025-12-04 10:03:23+00:00,2025-12-04 10:03:59+00:00,421,6f4d1726-d8a8-4aec-8b3d-1d987e23f6c6,Village Health Team (VHT),Kasule Mawa Yahaya,2025-12-04 09:53:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with New device .,2025-12-04 09:53:12+00:00,2025-12-04 10:03:16+00:00,2025-12-04 10:03:19+00:00,2025-12-06 12:13:49+00:00,3.44723,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,39,Koboko,Abuku,Metino,Yukulia,KAMY008,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Culex (nuisance),True,False,OK
AAH937,False,7629,https://api.vectorcam.org/specimens/5018/images/7629,a289332f8cdc966b30127a0dee58b23a,Culex,Female,Fully Fed,2025-12-04 09:59:30+00:00,2025-12-04 10:03:23+00:00,2025-12-04 10:03:51+00:00,421,6f4d1726-d8a8-4aec-8b3d-1d987e23f6c6,Village Health Team (VHT),Kasule Mawa Yahaya,2025-12-04 09:53:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with New device .,2025-12-04 09:53:12+00:00,2025-12-04 10:03:16+00:00,2025-12-04 10:03:19+00:00,2025-12-06 12:13:49+00:00,3.44723,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,39,Koboko,Abuku,Metino,Yukulia,KAMY008,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Culex (nuisance),True,False,OK
AAH936,False,7628,https://api.vectorcam.org/specimens/5017/images/7628,d948e6e19412779ca2043c8caac538d8,Culex,Female,Unfed,2025-12-04 09:59:06+00:00,2025-12-04 10:03:22+00:00,2025-12-04 10:03:42+00:00,421,6f4d1726-d8a8-4aec-8b3d-1d987e23f6c6,Village Health Team (VHT),Kasule Mawa Yahaya,2025-12-04 09:53:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with New device .,2025-12-04 09:53:12+00:00,2025-12-04 10:03:16+00:00,2025-12-04 10:03:19+00:00,2025-12-06 12:13:49+00:00,3.44723,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,39,Koboko,Abuku,Metino,Yukulia,KAMY008,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Culex (nuisance),False,True,OK
AAH935,False,7627,https://api.vectorcam.org/specimens/5016/images/7627,6778606ab24e1520353fd159570258ba,Culex,Female,Unfed,2025-12-04 09:52:39+00:00,2025-12-04 09:52:50+00:00,2025-12-04 09:53:11+00:00,420,41c894d4-cd39-4ed7-9b0a-471b8d73042a,Village Health Team (VHT),Kasule Mawa Yahaya,2025-12-04 09:48:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,Reimaged with new device.,2025-12-04 09:48:12+00:00,2025-12-04 09:52:45+00:00,2025-12-04 09:52:49+00:00,2025-12-04 09:52:49+00:00,3.44718,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,37,Koboko,Abuku,Metino,Yukulia,KAMY006,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Culex (nuisance),False,True,OK
AAH934,False,7626,https://api.vectorcam.org/specimens/5015/images/7626,a16f93f8f26bd9d313b7f94c5f750d8e,Culex,Female,Unfed,2025-12-04 09:47:42+00:00,2025-12-04 09:47:52+00:00,2025-12-04 09:48:20+00:00,419,00a6c4f6-ea4a-4bbd-9447-0d7dba2918da,Village Health Team (VHT),Kasule Mawa Yahaya,2025-12-04 09:45:12+00:00,Pyrethrum Spray Catch (PSC),Fresh,"Reimaged with new device.
",2025-12-04 09:45:12+00:00,2025-12-04 09:47:47+00:00,2025-12-04 09:47:51+00:00,2025-12-04 09:47:51+00:00,3.44718,31.0158,SURVEILLANCE,2025-12-01T04:52:39.000Z,UG-MEL-005,36,Koboko,Abuku,Metino,Yukulia,KAMY005,True,Gborokolongo Health Centre III,1,National Malaria Elimination Division,Uganda,81,motorola moto g play (2021),2025-12-01T04:58:54.000Z,2025,12,2025-12,4,Culex (nuisance),False,True,OK
